PS C:\Users\Rendszergazda> get-WindowsFeature 

Display Name                                            Name                       Install State
            [ ] URL engedélyezése                       Web-Url-Auth                   Available
            [ ] Ügyféltanúsítvány-hozzárendeléses hi... Web-Client-Auth                Available
            [ ] Windows-hitelesítés                     Web-Windows-Auth               Available
        [ ] Teljesítmény                                Web-Performance                Available
            [ ] Statikus tartalom tömörítése            Web-Stat-Compression           Available
            [ ] Dinamikus tartalom tömörítése           Web-Dyn-Compression            Available
        [ ] Alkalmazásfejlesztés                        Web-App-Dev                    Available
            [ ] .NET-kiterjeszthetőség 3.5              Web-Net-Ext                    Available
            [ ] .NET-kiterjeszthetőség 4.5              Web-Net-Ext45                  Available
            [ ] Alkalmazásinicializálás                 Web-AppInit                    Available
            [ ] ASP                                     Web-ASP                        Available
            [ ] ASP.NET 3.5                             Web-Asp-Net                    Available
            [ ] ASP.NET 4.5                             Web-Asp-Net45                  Available
            [ ] CGI                                     Web-CGI                        Available
            [ ] ISAPI-bővítmények                       Web-ISAPI-Ext                  Available
            [ ] ISAPI-szűrők                            Web-ISAPI-Filter               Available
            [ ] Kiszolgálóoldali beágyazás              Web-Includes                   Available
            [ ] WebSocket protokoll                     Web-WebSockets                 Available
    [ ] FTP-kiszolgáló                                  Web-Ftp-Server                 Available
        [ ] FTP szolgáltatás                            Web-Ftp-Service                Available
        [ ] FTP-kiterjeszthetőség                       Web-Ftp-Ext                    Available
    [ ] Kezelőeszközök                                  Web-Mgmt-Tools                 Available
        [ ] IIS-kezelő konzol                           Web-Mgmt-Console               Available
        [ ] IIS 6 kompatibilitási üzemmód               Web-Mgmt-Compat                Available
            [ ] Kompatibilitás az IIS 6 metabázisával   Web-Metabase                   Available
            [ ] IIS 6 parancsprogram-kezelő eszközök    Web-Lgcy-Scripting             Available
            [ ] IIS 6 WMI kompatibilitási mód           Web-WMI                        Available
            [ ] IIS 6-kezelő konzol                     Web-Lgcy-Mgmt-Console          Available
        [ ] IIS-kezelési parancsprogramok és eszközök   Web-Scripting-Tools            Available
        [ ] Kezelési szolgáltatás                       Web-Mgmt-Service               Available
[ ] Windows Server Update Services                      UpdateServices                 Available
    [ ] A Windows belső adatbázisának adatbázisa        UpdateServices-WidDB           Available
    [ ] A WSUS szolgáltatásai                           UpdateServices-Services        Available
    [ ] Adatbázis                                       UpdateServices-DB              Available
[ ] A .NET-keretrendszer 3.5 funkciói                   NET-Framework-Features         Available
    [ ] .NET-keretrendszer 3.5 (a .NET 2.0 és 3.0 a ... NET-Framework-Core               Removed
    [ ] HTTP nélküli aktiválás                          NET-Non-HTTP-Activ             Available
    [ ] HTTP-aktiválás                                  NET-HTTP-Activation            Available
[X] A .NET-keretrendszer 4.5 funkciói                   NET-Framework-45-Fea...        Installed
    [X] .NET-keretrendszer 4.5                          NET-Framework-45-Core          Installed
    [ ] ASP.NET 4.5                                     NET-Framework-45-ASPNET        Available
    [X] WCF-szolgáltatások                              NET-WCF-Services45             Installed
        [ ] Aktiválás Message Queuing szolgáltatáson... NET-WCF-MSMQ-Activat...        Available
        [ ] HTTP-aktiválás                              NET-WCF-HTTP-Activat...        Available
        [ ] Nevesített csövek aktiválása                NET-WCF-Pipe-Activat...        Available
        [ ] TCP-aktiválás                               NET-WCF-TCP-Activati...        Available
        [X] TCP-portmegosztás                           NET-WCF-TCP-PortShar...        Installed
[ ] Adatközponthíd-képzés                               Data-Center-Bridging           Available
[ ] Belső Windows-adatbázis                             Windows-Internal-Dat...        Available
[ ] BitLocker hálózati feloldás                         BitLocker-NetworkUnlock        Available
[ ] BitLocker meghajtótitkosítás                        BitLocker                      Available
[ ] BranchCache                                         BranchCache                    Available
[ ] Csoportházirend kezelése                            GPMC                           Available
[ ] DirectPlay                                          Direct-Play                    Available
[ ] Egyszerű TCP/IP-szolgáltatások                      Simple-TCPIP                   Available
[ ] Emelt szintű tároló                                 EnhancedStorage                Available
[ ] Feladatátvételi fürtszolgáltatás                    Failover-Clustering            Available
[X] Felhasználói felületek és infrastruktúra            User-Interfaces-Infra          Installed
    [X] Grafikus felügyeleti eszközök és infrastruktúra Server-Gui-Mgmt-Infra          Installed
    [ ] Asztali élmény                                  Desktop-Experience             Available
    [X] Kiszolgálói grafikus felület                    Server-Gui-Shell               Installed
[ ] Hálózati terheléselosztás                           NLB                            Available
[ ] Háttérben futó intelligens átviteli szolgáltatás... BITS                           Available
    [ ] IIS kiszolgálóbővítmény                         BITS-IIS-Ext                   Available
    [ ] Kompakt kiszolgáló                              BITS-Compact-Server            Available
[ ] IIS üzemeltethető webmagja                          Web-WHC                        Available
[ ] Internetes nyomtatási ügyfél                        Internet-Print-Client          Available
[ ] IP-címkezelési (IPAM) kiszolgáló                    IPAM                           Available
[ ] iSNS-kiszolgáló szolgáltatás                        ISNS                           Available
[ ] LPR-portfigyelő                                     LPR-Port-Monitor               Available
[ ] Minőségi audiovizuális Windows-élmény               qWave                          Available
[ ] Multimédia alaprendszer                             Server-Media-Foundation        Available
[ ] NFS-ügyfélszolgáltatás                              NFS-Client                     Available
[ ] OData-felügyeleti IIS-bővítmény                     ManagementOdata                Available
[ ] PNRP protokoll                                      PNRP                           Available
[ ] RAS - csatlakozáskezelő felügyeleti csomag (CMAK)   CMAK                           Available
[ ] RPC HTTP-n keresztül proxy                          RPC-over-HTTP-Proxy            Available
[X] SMB 1.0/CIFS rendszerű fájlmegosztási támogatás     FS-SMB1                        Installed
[ ] SMB Bandwidth Limit                                 FS-SMBBW                       Available
[ ] SMTP-kiszolgáló                                     SMTP-Server                    Available
[ ] SNMP szolgáltatás                                   SNMP-Service                   Available
    [ ] SNMP WMI-szolgáltató                            SNMP-WMI-Provider              Available
[ ] Szabadkézi beviteli és kézírás-felismerő szolgál... InkAndHandwritingSer...        Available
[X] Távoli kiszolgálófelügyelet eszközei                RSAT                           Installed
    [X] Szerepkör-felügyeleti eszközök                  RSAT-Role-Tools                Installed
        [X] AD DS- és AD LDS-eszközök                   RSAT-AD-Tools                  Installed
            [X] Active Directory-modul a Windows Pow... RSAT-AD-PowerShell             Installed
            [ ] Az Active Directory Lightweight Dire... RSAT-ADLDS                     Available
            [ ] Az Active Directory tartományi szolg... RSAT-ADDS                      Available
                [ ] Active Directory felügyeleti köz... RSAT-AD-AdminCenter            Available
                [ ] Az Active Directory tartományi s... RSAT-ADDS-Tools                Available
                [ ] NIS-kiszolgáló eszközei [ELAVULT]   RSAT-NIS                       Available
        [ ] Hyper-V kezelőeszközök                      RSAT-Hyper-V-Tools             Available
            [ ] Grafikus felületű Hyper-V kezelőeszk... Hyper-V-Tools                  Available
            [ ] Hyper-V modul a Windows PowerShell k... Hyper-V-PowerShell             Available
        [ ] Távoli asztali szolgáltatások eszközei      RSAT-RDS-Tools                 Available
            [ ] Távoli asztali átjáró eszközei          RSAT-RDS-Gateway               Available
            [ ] Távoli asztali licencelés diagnoszti... RSAT-RDS-Licensing-D...        Available
            [ ] Távoli asztali licencelés eszközei      RDS-Licensing-UI               Available
        [ ] Windows Server Update Services-eszközök     UpdateServices-RSAT            Available
            [ ] API- és PowerShell-alapú parancsmagok   UpdateServices-API             Available
            [ ] Kezelőkonzol felhasználói felülete      UpdateServices-UI              Available
        [ ] A fájlszolgáltatások eszközei               RSAT-File-Services             Available
            [ ] Elosztott fájlrendszer kezelőeszközei   RSAT-DFS-Mgmt-Con              Available
            [ ] Fájlkiszolgálói erőforrás-kezelő esz... RSAT-FSRM-Mgmt                 Available
            [ ] Hálózati fájlrendszer kezelőeszközei... RSAT-NFS-Admin                 Available
            [ ] Megosztások és tárolók kezelése eszköz  RSAT-CoreFile-Mgmt             Available
        [ ] A faxkiszolgáló eszközei                    RSAT-Fax                       Available
        [ ] A Hálózati házirend- és elérési szolgált... RSAT-NPAS                      Available
        [ ] A Központi Windows-telepítési szolgáltat... WDS-AdminPack                  Available
        [ ] A nyomtató- és dokumentumszolgáltatások ... RSAT-Print-Services            Available
        [ ] Az Active Directory tanúsítványszolgálta... RSAT-ADCS                      Available
            [ ] Az Online válaszadó eszközei            RSAT-Online-Responder          Available
            [ ] Hitelesítésszolgáltató-kezelő eszközök  RSAT-ADCS-Mgmt                 Available
        [ ] Az Active Directory tartalomvédelmi szol... RSAT-ADRMS                     Available
        [ ] DHCP-kiszolgálói eszközök                   RSAT-DHCP                      Available
        [ ] DNS-kiszolgálói eszközök                    RSAT-DNS-Server                Available
